booking_id,student_id,hostel_id,booking_date,booking_amount,commission_amount,booking_status
1,1,1,2025-11-02,6500,499,Completed
2,2,2,2025-11-03,6500,499,Completed
3,3,3,2025-11-04,6500,499,Completed
4,4,4,2025-11-05,6500,499,Completed
5,5,5,2025-11-06,6500,499,Completed
6,6,6,2025-11-07,6500,499,Completed
7,7,7,2025-11-08,6500,499,Completed
8,8,8,2025-11-09,6500,499,Completed
9,9,9,2025-11-10,6500,499,Completed
10,10,10,2025-11-11,6500,499,Completed
11,11,11,2025-11-12,6500,499,Completed
12,12,12,2025-11-13,6500,499,Completed
13,13,13,2025-11-14,6500,499,Completed
14,14,14,2025-11-15,6500,499,Completed
15,15,15,2025-11-16,6500,499,Completed
16,16,16,2025-11-17,6500,499,Completed
17,17,17,2025-11-18,6500,499,Completed
18,18,18,2025-11-19,6500,499,Completed
19,19,19,2025-11-20,6500,499,Completed
20,20,20,2025-11-21,6500,499,Completed
21,21,21,2025-11-22,6500,499,Completed
22,22,22,2025-11-23,6500,499,Completed
23,23,23,2025-11-24,6500,499,Completed
24,24,24,2025-11-25,6500,499,Completed
25,25,25,2025-11-26,6500,499,Completed
26,26,26,2025-11-27,6500,499,Completed
27,27,27,2025-11-28,6500,499,Completed
28,28,28,2025-11-29,6500,499,Completed
29,29,29,2025-11-30,6500,499,Completed
30,30,30,2025-12-01,6500,499,Completed
31,31,31,2025-12-02,6500,499,Completed
32,32,32,2025-12-03,6500,499,Completed
33,33,33,2025-12-04,6500,499,Completed
34,34,34,2025-12-05,6500,499,Completed
35,35,35,2025-12-06,6500,499,Completed
36,36,36,2025-12-07,6500,499,Completed
37,37,37,2025-12-08,6500,499,Completed
38,38,38,2025-12-09,6500,499,Completed
39,39,1,2025-12-10,6500,499,Completed
40,40,2,2025-12-11,6500,499,Completed
41,41,3,2025-12-12,6500,499,Completed
42,42,4,2025-12-13,6500,499,Completed
43,43,5,2025-12-14,6500,499,Completed
44,44,6,2025-12-15,6500,499,Completed
45,45,7,2025-12-16,6500,499,Completed
46,46,8,2025-12-17,6500,499,Completed
47,47,9,2025-12-18,6500,499,Completed
48,48,10,2025-12-19,6500,499,Completed
49,49,11,2025-12-20,6500,499,Completed
50,50,12,2025-12-21,6500,499,Completed
51,51,13,2025-12-22,6500,499,Completed
52,52,14,2025-12-23,6500,499,Completed
53,53,15,2025-12-24,6500,499,Completed
54,54,16,2025-12-25,6500,499,Completed
55,55,17,2025-12-26,6500,499,Completed
56,56,18,2025-12-27,6500,499,Completed
57,57,19,2025-12-28,6500,499,Completed
58,58,20,2025-12-29,6500,499,Completed
59,59,21,2025-12-30,6500,499,Completed
60,60,22,2025-12-31,6500,499,Completed
61,61,23,2026-01-01,6500,499,Completed
62,62,24,2026-01-02,6500,499,Completed
63,63,25,2026-01-03,6500,499,Completed
64,64,26,2026-01-04,6500,499,Completed
65,65,27,2026-01-05,6500,499,Completed
66,66,28,2026-01-06,6500,499,Completed
67,67,29,2026-01-07,6500,499,Completed
68,68,30,2026-01-08,6500,499,Completed
69,69,31,2026-01-09,6500,499,Completed
70,70,32,2026-01-10,6500,499,Completed
71,71,33,2026-01-11,6500,499,Completed
72,72,34,2026-01-12,6500,499,Completed
73,73,35,2026-01-13,6500,499,Completed
74,74,36,2026-01-14,6500,499,Completed
